Year;#gamesPerYear;M+AO_Year(%)
1970;104;2.0
1973;1;0.0
1975;1;100.0
1977;12;0.0
1978;48;0.0
1979;5;0.0
1980;35;0.0
1981;37;0.0
1982;214;0.0
1983;300;0.0
1984;88;0.0
1985;93;0.0
1986;146;0.0
1987;259;0.0
1988;282;0.0
1989;436;0.0
1990;666;0.0
1991;786;0.0
1992;935;0.0
1993;1043;0.0
1994;1163;1.0
1995;1162;1.0
1996;1220;3.0
1997;1030;5.0
1998;1094;3.0
1999;1285;4.0
2000;1561;4.0
2001;1493;4.0
2002;1736;5.0
2003;1738;6.0
2004;1611;9.0
2005;1821;11.0
2006;2112;6.0
2007;2573;5.0
2008;2979;5.0
2009;4507;6.0
2010;3661;8.0
2011;3489;8.0
2012;1560;8.0
2013;1723;7.0
2014;2905;5.0
2015;1633;8.0
2016;1238;10.0
2017;1486;11.0
2018;1482;8.0
2019;729;10.0
2020;331;0.0
